,text,A005,A008,A012,A009,A003,A002,A007,A004,A010,A001
2167,"Rehleinaugen 2.0
Das ganze ist die Wiederholung der rehleinaugen von der schottermizzi... 
Viel unsympathischer als der Nehammer kann im Moment nicht rüberkommen, das bedeutet aber nicht, dass er in der Sache völlig unrecht hat...wie soll auch jemand sympathisch wirken der die Wega durch protestierende Schüler pflügen lässt um eine Teenagerin in den Abschiebeflieger zu setzten, aber lässt man das emotionale weg und betracht die juristische Geschichte des Falls, bleibt nicht viel übrig was „Milde“ rechtfertigen würde...ob die Gesetze die hier umgesetzt wurden gut sind ist eine andere Frage, eine Frage die bei Wahlen zu klären ist.",0,-1,1,-1,0,0,-1,-1,3,-1
2168,Ist sie blond?,-1,-1,0,0,-1,2,-1,0,1,-1
2169,"Jede einzelne (!) ""Behauptung"" von mir steht schwarz auf weiß in Kommentaren in diesem Forum, in meinem Posting befindet sich keine einzige Unterstellung! Offensichtlich hast auch du ein Problem mit Tatsachen also schenk dir deine Beschimpfung! Ich hab überhaupt kein Problem damit wie sich jemand anderer ernährt, und versuch hier auch niemanden zu missionieren. Dein Posting zeigt, dass du ein besonders dreister Fundamentalist bist der ein Problem mit der Wahrheit hat, also troll dich!",0,-1,0,-1,0,0,-1,-1,0,-1
2170,"Sowas ist organisiertes Dreckspack. Nicht die Bettler an sich, aber die Organisation, die dahinter steckt.

Wer da auch nur 1 Cent hergibt, ist selber schuld an der Aufrechterhaltung dieser Gaunerorganisationen.",0,-1,0,-1,0,0,-1,-1,0,-1
2171,"Bitte einfach nicht über den Strache berichten. Ist eh alles nur Propaganda, die er da von sich gibt.
So einem Loser muss man im Übrigen auch keine Bühne mehr bieten, sonst rechtfertigt man zum Schluss tatsächlich noch sein Comeback.",0,-1,0,-1,0,0,-1,-1,0,-1
2172,"Nagelsmann hat starke Erfolge, Rose hatte unglaubliche Erfolge. 

Was willst denn groß vergleichen? Sinnlos. 

Rose hat mit Salzburg die YL gewonnen (!!!!!!)! Und dann ist er mit der Ersten ins EL-Halbfinale vorgestoßen! Jetzt ist Salzburg die einzige Mannschaft in Europa, die noch nicht verloren hat. 

Ich glaube Rose > Nagelsmann. Aber gut. 

Hoffentlich bleibt er bei uns in Sbg.",0,-1,0,-1,0,0,-1,-1,0,-1
2173,"Oida nimm deine Pulver...
... und gib dein Pfleger wieda sei Handy zruck!",0,-1,0,-1,0,0,-1,-1,0,-1
2174,Miese Manipulation und Show mehr fällt mir zu diesem Menschen nicht ein.,0,-1,0,-1,0,0,-1,-1,0,-1
2175,"Weil die dumpfe Nuss, dumm wie Brot, den Basti brav anbetet!",0,-1,2,-1,2,0,-1,-1,3,-1
2176,Frau?,0,-1,2,-1,0,0,-1,-1,0,-1
2177,Na ich würde eher sagen auszuziehen versteht.,0,-1,2,-1,0,0,-1,-1,0,-1
2178,"rofl, ein komisches Volk treibt hier sein Unwesen, Rassisten darf man beschimpfen, aber dieselbigen white trash nennen ist nicht gestattet, get a life, ihr guten Weißbrote, dabei ist es gerade eure Klasse(vergleichbar) die ihre minderbemittelten Mitmenschen da drüben als solches bezeichnen, ihr pseudo Amerikakenner, schleichst eich...",0,-1,0,-1,0,0,-1,-1,0,-1
2179,"Weil du das auch ständig machst, du heuchler, net wahr?",0,-1,0,-1,0,0,-1,-1,0,-1
2180,lindsay vonn mausert sich langsam zur milf,3,-1,2,-1,3,1,-1,-1,4,-1
2181,"Du heißt
Nicht einmal {USER}... Sondern bist ein blaser Bub mit schirchen Wimmerln im Gesicht",2,-1,0,-1,1,2,-1,-1,0,-1
2182,"Danke, Schellhorn. Irgendjemand musste es tun. Ich hoffe, zur Kneissl fällt ihm auch noch was ein.",0,-1,0,-1,0,0,-1,-1,0,-1
2183,Nazis braucht hier auch keiner.,0,-1,0,-1,0,0,-1,-1,0,-1
2184,"zu schwach für eine echte Frau
So ist es doch!",2,-1,2,-1,2,2,-1,-1,0,-1
2185,Sie haben die Wahl nicht jeden ihren Bauch hinzuhalten!,0,-1,3,-1,0,0,-1,-1,0,-1
2186,Österreich und der Herr Prohasker sollen sich nicht  prowuszieren lassen von einem Drecksfut die was die Lapperl nicht beinander halten kann.,3,-1,0,-1,4,3,-1,-1,4,-1
2187,"Das schaffen nur Frauen, weil sie sind ja, wird uns allen als Gesellschaft versucht einzureden, in allem ""besser"". 

In dem Fall ist das jetzt gar nicht mal so einfach gewesen das mit einer Schwimmweste erfolgreich auszuführen! LOL :-)))",1,-1,2,-1,2,0,-1,-1,3,-1
2188,Das einzige was die im Kopf hat ist den kleinen HC vom Strache ;-),3,-1,2,-1,3,2,-1,-1,4,-1
2189,"Wäre interessant, wie viele von den hasstriefenden Kurzapologeten hier zu Weihnachten in die Kirchen rennen. Verlogenes Sche*ßfest.",0,-1,0,-1,0,0,-1,-1,0,-1
2190,"im krankenhaus
kann sie ja jetzt für die führerscheinprüfung lernen",2,-1,0,-1,3,0,-1,-1,0,-1
2191,"was genau ist daran „rassistisch“ wenn ein spaßvogel
vor einer amtshandlung davonläuft und sich dann gewaltsam dagegen widersetzt?

was hätte die polizei tun sollen? weitergehen oder den stammeshäuptling als mediator hinzurufen?

die verhöhnung von gastland und rechtsstaat erkennt man schon an der an absurdität kaum zu überbietenden aussage, dass er nicht an die echtheit der polizisten glaubte.

von polizisten die sich 24/7 mit solchen witzbolden herumschlagen müssen ...

mfg",0,-1,0,-1,0,0,-1,-1,0,-1
2192,"Was haben Sie eigentlich für ein Problem? Sie beschimpfen hier so ziemlich jeden auf aggressive und überhebliche Weise, sind polemisch - und werfen skurrilerweise anderen Polemik vor...",-1,-1,0,-1,0,0,-1,-1,0,0
2193,"Die Masse der Kleinmännchen in A ...
... der aktiven und passiven = die, die aktiven schweigend hinnehmen, ist erschütternd. 
Und damit auch beweisend, dass die Mehrheit der Bevölkerung ihre Rechte nicht verdient hat. 

Ich würde nämlich keine Typerl in meiner privaten oder beruflichen Umgebung dulden, die mit Frauen so offenbar nicht zurande kommen. 

Frau Bißmann hat auf ihr Mandant zugusten von Pilz nicht verzichtet.
Abgesehen davon, dass Frauen keine Platzhalterinnen für Männchen sind, ist das ihr Recht. Das der Klub wortlos zu akzepieren gehabt hätte.

Dass er das nicht getan hat, beweist wieder, dass er nichts in einem Parlament zu suchen hat. Aber das österreichische ist ja auch kein Parlament, sondern der Durchwinkapparat der gekauften 183 Rückgratlosen.",-1,-1,0,-1,1,0,-1,-1,0,0
2194,"Frau am Steuer ...
#metoo",-1,-1,2,-1,3,3,-1,-1,3,2
2195,stupid af,-1,-1,0,-1,0,0,-1,-1,0,0
2196,Als Frau gefahrenlos autostoppen kann auch nur die Sargnagel.,-1,-1,1,-1,3,2,-1,-1,3,2
2197,"In dem Kontext mit der Löwin ist der Vorwurf des Sexismus eim bisserl schwer auf schwachen Beinen.

Gemeint ist ja wohl klar, daß sie dem Jäger vor's Zielfernrohr gelaufen ist.",-1,-1,0,-1,0,2,-1,-1,0,2
2198,"Immer wieder herrlich...

Da erzählt einer ein völlig unbewiesenes Gschichtl und die {USER} wird gleich ganz wuschig.

Sie sollten echt einen Sexualtherapeuten aufsuchen, vielleicht kann ihnen noch geholfen werden.",-1,-1,3,-1,0,3,-1,-1,3,3
2199,Wie viel Steuern zahlen Sie denn? Weil über das Geld anderer verfüge ich auch leicht.,-1,-1,0,-1,0,0,-1,-1,0,0
2200,nein gibts nicht nativ: {URL},-1,-1,0,-1,0,0,-1,-1,0,0
2201,"Europa schaut nach Wien eine Zeit lang, dann erst wieder, wenn die Koalition zerbricht!
Und das ist wohl eher unausweichlich:
Der galante Jüngling und der in die Jahre gekommene Wenne werden zwar Harmonie vorgaukeln, glaubwürdig wird das aber nie.
Zu kräftig waren die Vorwürfe der Grünen während der FPÖ-Zeit. Sie galten ganz besonders dem BK Kurz.

Jetzt ist alles vergessen und im Reinen?

Schwer zu glauben.

Die nächste Wahl kommt vielleicht schon bald, dann ist Kurz am Ziel: Alleinregierung!",-1,-1,0,-1,0,0,-1,-1,0,1
2202,"ich will zwar nicht diese fürsorglichen tiere beleidigen, aber solche sprichwörtliche  raabenmütter, die mit ihrer eigenen welt nicht zurechtkommen, sollten ganz einfach keine kinder bekommen. gebärmutter raus und fertig.",-1,-1,2,-1,3,3,-1,-1,4,3
2203,"Die Effen sind sicherlich mit Feuereifer dabei, verantwortliche, gemeinsame und verantwortungsvolle Gesundheitspolitik zu betreiben. Traue auch den Neos das nicht zu, Frau MR gefällt sich in der Rolle der hysterischen Oppositionspolitikerin. Die Effen sind wenigstens ehrlich, da wird nichts verbrämt.",-1,-1,2,-1,1,0,-1,-1,0,1
2204,"ORF
Es ist langweilig, sich das Schifahren anzuschauen, wo doch das Interessanteste, das unter Leitung des Herrn Schröckschnabel seit Jahrzehnenten  in den Internaten abgeht, nicht gezeigt wird. Es gilt ausdrücklich die Unschuldsvermutung beim Training!",-1,-1,2,-1,0,0,-1,-1,0,0
2205,Nett und naiv.,-1,-1,0,-1,0,0,-1,-1,0,0
2206,"willsts wohl lei im besenraum vernaschen! 
verständlich!

:)",-1,-1,2,-1,3,2,-1,-1,0,2
2207,"{URL}
Saumriff? 

Oder meinten Sie xìngjiao
Ich frage nur für einen Freund ;-)",-1,-1,0,-1,0,0,-1,-1,0,0
2208,"Leider hast keine Antwort gegeben. Wär halt einfacher gewesen, weil es ja drei Kassen gibt.
Nehmen wir an du bist bei der ÖGK, der Versicherung für die Arbeiter/Angestellten. 
Die neue ÖGK hat ja dein Kurz gebracht. Aber meinst du wirklich, dass das jetzt besser wird, wenn die Arbeitgeber in den Entscheidungsgremien gleich viel Stimmen haben wie die Arbeitnehmer. Die Arbeitgeber werden nein sagen bei Leistungen, weil das was kostet. Das wird finster für euch in den kommenden Jahren. Du wirst immer wieder hören "" wir müssen sparen"", ja richtig - wir Arbeitgeber bei euch Arbeitnehmern. Weil wir Arbeitgeber wissen was für euch Arbeitnehmer gut ist. 
Das gab's nicht einmal unter Dollfuß.
Ja, der Kurz,etwas kann er-d'Leut für blöd verkaufen.",-1,-1,0,-1,0,0,-1,-1,0,0
2209,"Großer Gott, ich beginne zu verstehen: ""Ich habe für Euch geschluckt"" und dann das Bukkakezimmer von Freund Ho
Was dieser Mann alles bereits für uns - und nur für uns - getan hat. Einfach unglaublich!",-1,-1,0,-1,2,0,-1,-1,0,2
2210,"War einmal dort und nie wieder...
...ein paar Thainutten und man hätte geglaubt, man wähne sich auf einem billigen schäbigen Strand in Thailand. 

Das sich die Wiener eine derartige Location jahrelang besucht haben und sich den Grind gaben, wundert mich .",-1,-1,2,-1,3,0,-1,-1,3,3
2211,"Der einserschmäh der Bauernlobby:
Geht ihr mir kein geld, müsst ihr Fleisch aus Russland essen. 

Und schon rinnen wieder Milliarden Richtung Bauern...",-1,-1,0,-1,0,0,-1,-1,0,0
2212,"Geh bitte, hoit doch die Pappn, du Wappler!",-1,0,0,-1,0,0,-1,-1,0,-1
2213,"Das NT hat mit Pool oder Barca absolut nichts gemein, vergiss es. 

Und nein, man hätte genug Qualität in der Offensive, vor allem im Mittelfeld und mit Red Bull auch eine taktische Vorlage, man muss wirklich nicht mehr mit viel Kampf im Mittelfeld gewinnen.",-1,-1,0,-1,0,0,-1,-1,0,0
2214,"Die lieben Damen machen es sich lieber zu Hause gemütlich und wollen nicht hackeln gehen! Da sind die Kinder schon oft Erwachsen, bleiben sie wenn überhaupt lieber in Teilzeit!",-1,-1,3,-1,3,2,-1,-1,2,2
2215,"Zu ""selbsternannte Europabefehlshaber Dtld. und Frankreich"": Es sind die Kernstaaten der EU, die Väter der Idee, die zwei größten Länder, wenn diese nicht versuchen zu führen, wer denn sonst? Und als Deutscher sage ich: für uns zählen Benelux, Skandinavien, Österreich zur absoluten KernEU. - Ein Fehler ist aber die Flüchtlingspolitik. Das ist grundfalsch, denn es wird damit eine Völkerwanderung ausgelöst. Jeder Pakistani oder Iraker, Eritraer, Marokkaner, Afghane etc., der es schafft in die EU zu kommen, ist wie eine Leuchtreklame für die anderen, die es auch überlegen. Warum dann? Merkel - CDU - Unternehmerpartei - billige Arbeitskräfte. Ich glaube, hier liegt das Problem.",-1,-1,0,-1,0,0,-1,-1,0,0
2216,"Finde ich wirklich einmal korrekt, nur den Männern das breitbeinige sitzen zu untersagen, Frauen sollte das weiterhin gestattet sein, speziell wenn sie einen kurzen Rock anhaben...lechz!",-1,-1,3,-1,3,2,-1,-1,3,3
2217,"Es gibt da nmE. drei Kategorien.
a) fachlich gut, zielstrebig, fleißig, bescheiden
b) feministisch aufgedreht, selbsteingenommen, belehrend
c) fachlich unsicher, dafür sexy gekleidet, fraulich schlau",-1,-1,3,-1,2,3,-1,-1,3,2
2218,"Politik hin oder Herr. Darf man den heute über eine Frau gar nichts mehr sagen ohne das gleich alle durchdrehen.
Wenn ich im Sommer diverse Fleischberge in Röcken und Retro Beharrung ansehen muss dann ist das auch eine Sexuelle Belästigung für mein Auge. Ich vermeide jetzt bewusst den Begriff ""grausam""

Herr Dönmez, das war schon OK. Und alle Frauen die wegen einer ""Knie"" Saga beleidigt vorkommen sollen sich mal fragen ob sie nicht maßlos übertreiben. 
Bei manchen Frauen ist die Zeit vor 100 Jahren stehen geblieben....",-1,-1,3,-1,3,3,-1,-1,2,3
2219,"Diese Hexen von Hollywood nerven auch nur mehr
Nur weil Mia Farrow jetzt allein da hockt, weil sie als Person sonst auch nicht auszuhalten ist, tut sie jetzt andere terrorisieren.",-1,-1,0,-1,3,2,-1,-1,3,1
2220,"Statistik Austria ist bereits heimlich in türkiser Kontrolle übergegangen, türkis grün werden sich bald über tolle Statistiken erfreuen...und sich gegenseitig auf die Schulter klopfen... Kurz auf seine Schulter, Kogler auf die von Seb natürlich ;)",-1,-1,0,-1,0,0,-1,-1,0,0
2221,Die Weichen sind gestellt und Dr. Arnautovic steht am Abstellgleis.,-1,-1,0,-1,0,0,-1,-1,0,0
2222,"ich erkenne eh an, dass männer in österreich vom gesetz her schlechter behandelt werden. wieso sie nicht?",-1,-1,3,-1,1,2,-1,-1,0,2
2223,"Nachruf:

Die Funktion führt sich ad absurdum wenn die notification da ist, das entsprechende Antwortpost aber noch nicht!",-1,-1,0,-1,0,0,-1,-1,0,0
2224,"Ja ganz dramatisch, ich hab gehört, in China ist gestern ein Radfahrer fast auf einen auf der Straße herumliegenden Reissack gefahren, stellens sich das mal vor, Gott sei Dank konnte er vorher noch leicht links ausweichen! Wahnsinn was auf der Welt so passiert, da hauts die weg!",-1,-1,0,-1,0,0,-1,-1,0,0
2225,Bei uns nennt man so etwas „Trutschn“. In den USA wird so etwas Gouverneurin und Vizepräsidentschaftskandidatin. Land der schwer begrenzten Unmöglichkeiten.,-1,-1,2,-1,2,2,-1,-1,2,2
2226,"unfair finde ich, dass im Frauenfußball offen zur Homosexualität bekannt wird
und man dann auch plötzlich den ziemlich hohen Anteil von Homosexuellen im Fußball vor Augen geführt bekommt, während es bei uns Männern weiterhin einem Karriere-Harakiri gleichkommt. Gefühlt ist jede 3. Fußballerin aus Westeuropa und Nordamerika in einer Beziehung mit einer Frau.",-1,-1,0,-1,2,0,-1,-1,0,0
2227,Der schlimmste Feind der Frauen sind Frauen.,-1,-1,2,-1,2,2,-1,-1,2,0
2228,...wie wohl ihre Knie aussehen?,-1,-1,2,-1,3,0,-1,-1,3,0
2229,Immer anal!,-1,-1,1,-1,1,0,-1,-1,0,0
2230,Zahlt doch eh der Fioner oder die Schwiegermutter ;),-1,-1,0,-1,3,0,-1,-1,0,0
2231,"Fast hätte ich den Gedanken, würden sie den falschen Flieger besteigen und statt in Wien in Lagos aussteigen, sie würden es nicht verstehen und den erstbesten Nigerianer fragen, wo's zum Prater geht",-1,-1,0,-1,1,0,-1,-1,0,0
2232,"Ich fühle mich jedes Wochenende persönlich angespornt,
nach einem One-Night-Stand zu klicken.

Das ist mein Beitrag zum Kampf gegen den Klimawandel:
Ein Medium zu unterstützen, dass in 100% der Fälle Sachlichkeit, Unabhängigkeit und Unparteilichkeit beweist und lebt. Dafür klicke ich die Casual Lounge an.",-1,-1,0,-1,0,0,-1,-1,0,0
2233,"oder wie wäre es mit Van der Möse um zu signalisieren dass die alten, weissen, mächtigen Männer nichts mehr zu sagen haben in der Partei.",-1,-1,2,-1,3,1,-1,-1,4,2
2234,"Typisch Frau, übrigens. Männer lassen auch nach hitzigstem Gefecht einen versuchten Witz in Ruhe. Frauen nicht, die müssen dann überall reinzicken.",-1,-1,3,-1,3,3,-1,-1,3,2
2235,"Frauen
oder wei ich sie nenne: Der Beifang der Kunstgeschichte!
Auch wenn es Frauen noch so versuchen,gute Kunst können sie nicht. 
Dazu haben sie viel zu viel emotionale Stabliät und zu wenig existentielles  Selbstezrtörungsverhalten dass das Hauptmotiv des Kunstschaffens eigentlich ist und wirklich große Kunst war immer nur dann möglich wenn der Künstler ein ""lebender Toter"" war und ist. 
Da Frauen aber grunsäzlich keinerlei  Selbstzertöungsverhalten haben- ja die Biologie ist ein Hund- werden sie nie ""was wirklich Großes"" hinbekommen. 
Raus kommt halt Mittelmaß wie Jelinek, Strerowitz und Unger es zusammen schustern. 
Übertauern wird das die Geschichte nicht- dass sie derzeit überproportional Raum bekommen ist halt dem Zeigeist geschuldet. Srry",-1,-1,3,-1,4,3,-1,-1,3,3
2236,"Ein Wahnsinn, die Frau.
Und von der Bettkante würde ich sie auch nicht stoßen.",-1,-1,3,-1,3,2,-1,-1,3,3
2237,In die Knie gehen,-1,-1,0,-1,0,0,-1,-1,0,0
2238,"Wenn Frauen bauen anfangen, haben wir Lehmhütten.
Wenn Männer bauen anfangen, haben wir eine Zivilisation.",-1,-1,3,-1,3,4,-1,-1,4,2
2239,"bitte frau rendi, kleiden sie sich ab jetzt doch in fröhlich-frischen-hellen farben - so eine non-verbale änderung würde ihren permanent gequälten gesichtsausdruck etwas kaschieren. 
ich weiß natürlich, es kommt doch nur auf inhalte an, aber - mangels selbiger - könnte es helfen.",-1,-1,3,-1,3,0,-1,-1,3,1
2240,die interrail Hasen kann man aber nur mit dreifachen Kondom nehmen. Nachdem sie wochenlang das europäische schwabzkarusell gefahren sind.,-1,-1,4,-1,4,3,-1,-1,4,3
2241,"Vorstadtschlampen gegen PP
Lächerlich!",-1,-1,2,-1,4,2,-1,-1,3,2
2242,"ein Gütesiegel wäre gut:
""Frauen aus Bodenhaltung""",-1,-1,3,-1,4,3,-1,-1,3,3
2243,"Es ist mir unverstaendlich, wie wir damals ohne Smartphone ueberlebt haben.",-1,-1,0,-1,0,0,-1,-1,0,0
2244,"CR7 steht auf Knackwürste?
Oder ist das die x-fache (leibliche) Mutter seiner Kinder mit den natürlichen postnatalen Rundungen? (dann wird er sie schon wieder auf Vorderfrau bringen...)",-1,-1,2,-1,3,2,-1,-1,2,0
2245,Konrads Abberufung war ein Warnung an alle die Kurz kritisieren...,-1,-1,0,-1,0,0,-1,-1,0,0
2246,"Ich wünsche ihm baldigst einen neuen Klub.
Könnte auch dem {USER} helfen, hat immer Bomben Partien geliefert  und besser als {USER} war er schon immer!
Alles Gute!",-1,-1,0,-1,0,0,-1,-1,0,0
2247,ihr kommentar ist auf jedenfall irrelevant,-1,-1,0,-1,0,0,-1,-1,0,0
2248,Kein schöner Gedanke,-1,-1,0,-1,0,0,-1,-1,0,0
2249,Eine Schande. Politiker hier wie dort haben einfach keine Eier.,-1,-1,0,-1,1,0,-1,-1,2,1
2250,Ob es Great Britain noch lange geben wird? Die Schotten und die Iren werden wohl über ihre Unabhängigkeit erneut nachdenken und abstimmen.,-1,-1,0,-1,0,0,-1,-1,0,0
2251,"Es ist immer noch eine bodenlose Frechheit, dass die Frauen das gleiche Preisgeld bekommen wie die Männer",-1,-1,2,-1,2,3,-1,-1,3,2
2252,"Keine Sorge, der Finanzmarkt lässt seine Rechnungen für gewöhnlich von der öffentlichen Hand bezahlen...
Dem Geld wird es mit und ohne brexit gut gehen",-1,-1,0,-1,0,0,-1,-1,0,0
2253,"Mit der Marta Bassino würd ich aber auch ganz gerne einmal ...

... schifahren gehen.",-1,-1,2,-1,3,0,-1,-1,2,2
2254,"Okok, es war der 10. Spieltag gegen Leicester. {USER} hat recht. Ich muss nochmal das 1x1 durchkauen aber hey: VÖLLIG WURSCHT lol

{USER} muss trotzdem die zweite Hälfte des Alphabets lernen.",-1,-1,0,-1,0,0,-1,-1,0,0
2255,Ich erinnere mich noch als plötzlich Trump gewann und in England für leave’ gestimmt wurde... Unvorstellbares kann eintreten und die Welt wieder ins Mittelalter katapultieren...,-1,-1,0,-1,0,0,-1,-1,0,0
2256,"die 300 jahre
kommen daher, dass mit der erfindung der dampfmaschine zum ersten mal die prognose kam, dass die menschen bald nicht mehr werden arbeiten müssen, weil das die maschine erledigt...",-1,-1,0,-1,0,0,-1,-1,0,0
2257,""" "" Wir können ruhig mit breiterer Brust auftreten."" ""
Tritt nicht eine der Mandatarinnen mit wesentlich breiteren Hinterteil auf?
Fährt sie mit diesem einem nicht unwesentlichen Teil der Wiener Bevölkerung, und zwar dem der Donaustadt, ins Gesicht?",-1,-1,2,-1,3,2,-1,-1,1,2
2258,Dann sollte er aufpassen bei seiner optisch 80 jährigen Frau dass er sie nicht an steckt.,-1,-1,0,-1,3,2,-1,-1,0,2
2259,"ich vermute, weil das oft alte Weiber sind, dass die dicken Schwänze junger Zuwanderer da was damit zu tun haben, aber das darf man ja nicht sagen!",-1,-1,2,-1,4,2,-1,-1,4,3
2260,"2. Korrektur!
EU/EFTA- Bürger müssen zuerst 12 Monate ununterbrochen gearbeitet haben bevor sie Arbeitslosengeld beziehen können, bei Sozialhilfe sogar 24 Monate.

EU- Bürger aus den EU- Staaten die nach 2007 beigetreten sind, ist die Karenfrist noch länger. Wer zulange Arbeitslos ist und/oder zulange Sozialhilfe bezieht wird aus der CH ausgewiesen, wie auch jeder der eine Zuchthausstrafe von 12 Monaten und mehr verbüsst. Der Landesverweis beträgt mindestens 10 Jahre.

Wer Dienstleistungen ( Handwerker) in der CH erbringen möchte, muss sich 8- Tage vorher abmelden und beim Grenzübertritt eine Kaution in Bar hinterlegen.",-1,-1,0,-1,0,0,-1,-1,0,0
2261,"Wozu Casinos und Poker überhaupt?
Wozu brauchen mündige Bürger (seltene Bürgerinnen) überhaupt so etwas wie Poker oder Casino? Es gibt so viele der Menschheit nützliche Freizeitaktivitäten, die keine Sucht hervorrufen können.",-1,-1,0,-1,0,0,-1,-1,0,0
2262,"Die FP Frauen sind zu ziemlich das heuchlerischste auf dieser Welt. Haben die schon mal gehört, was ihre Parteikollegen den lieben langen Tag so von sich geben?",-1,-1,0,-1,0,0,-1,-1,0,0
2263,"Manchmal sind Gerichte eben wirklich weltfremd - ein Beleg dafür ist die Entscheidung,Computer als „keine Rundfunksempfangsgeräte“ zu bezeichnen.Bekanntlich kann man mit Computern bzw. mit Computerabkömmlingen wie Tablet oder Smartphone mit Hilfe einer passenden App den TV-Stream ohne Probleme empfangen.Ich gehe davon aus,dass der ORF gute Chancen hätte,wenn er gegen diese Entscheidung prozessieren würde.",-1,-1,0,-1,0,0,-1,-1,0,0
2264,"naja, strukturell gesehen, haben sich Frauen ihre eigenen brutalen Gewaltinstrumente geschaffen (soziale Kontrolle) und sie machen gerne und viel Gebrauch davon..",-1,-1,3,-1,3,3,-1,-1,3,3
2265,"Nein.
Einfach nur Nein.",-1,-1,0,-1,0,0,-1,-1,0,0
2266,"Ja, ihr starren die versammelten Herren nach,
*aber noch gruseliger ist doch wie stolz und zufrieden Papa das ganz offensichtlich macht. Der überprüft auf dem Bild doch bitte gerade, ob eh jeder glotzt.*
Unterhält er sich dann auch un launiger Herrenrunde über seine eigene Tochter?
Echt abstoßend.",-1,-1,0,-1,1,0,-1,-1,0,0
2267,diese miese vp weibertruppe - alle gegen pilz,-1,-1,2,-1,2,3,-1,-1,3,2
2268,Besser a Mann als Experte als a Frau ohne...,-1,-1,3,-1,2,2,-1,-1,3,3
2269,"Mich würde interessieren, wie viele Deppen es gibt, die dann mit einer 50-jährigen frustrierten, alten Schachtel (außer die hatten vorher eine langjährige Beziehung) bewusst ein Kind produzieren, um dann Alimente zu zahlen. 
Außer die sind 70+, dann ist ehe schon alles wurscht.",-1,-1,3,-1,3,2,-1,-1,3,2
2270,"Das US-Politsystem ist einfach komplett kaputt. Eigentlich muss man das Land in diesem Bereich inzwischen als Failed State bezeichnen. Partisanship geht inzwischen über alles. Selbst parlamentarische Verfahren werden nun boykottiert. Die Republikaner haben gerade den letzten (minimalen) Rest ihrer Würde aufgegeben. Mit Demokratie und Rechtsstaat hat das alles nichts mehr zu tun. Aber gleichzeitig ist man natürlich weiterhin ""Greatest Country in the World""...",-1,-1,0,-1,0,0,-1,-1,0,0
2271,"dein Gesicht ist mir egal - bück dich, noch einmal!",-1,-1,3,-1,2,3,-1,-1,3,4
2272,Ich fordere ein Recht auf eine Villa in Döbling und auf regelmäßigen GV mit Scarlett Johansson...,-1,-1,3,-1,-1,0,2,2,3,-1
2273,"ich würde mich freuen, wenn er novak ""glutenfreies doping"" djokovic vom weiteren gs sieg aufhalten könnte. das ist der perfekte zeitpunkt für einen gs sieg von thiem.",-1,-1,0,-1,0,0,-1,-1,0,0
2274,Sie verstehen es leider nicht zwischen verschiedenen Ebenen von Diskussionsgegenständen zu unterscheiden und begehen weiter Hetze um von sich abzulenken. Noch nicht einmal Eier haben Sie um zu Ihren ausschließenden Ansichten zu stehen. Stattdessen verbreiten Sie verdrehten Schwachsinn....,-1,0,1,-1,-1,0,-1,-1,0,1
2275,"Bauer
Was hat ein Bauer mit einen Vollrausch zu tun,ihr Geschöpfe von einem Haufen scheiße???",-1,0,0,-1,-1,0,-1,-1,0,0
2276,"Einige schon, aber das ist ein anderes Kapitel und gehört ins Schlafzimmer",-1,0,0,-1,-1,0,-1,-1,0,0
2277,"nein ich bin tatsächlich im denken global und offen. deshalb kritisiere  ich ja auch andere kulturen, wenn sie denn beispielsweise rückständig sind, was menschenrechte und demokratie betrifft. ich will eine weltweite demokratie, wo persönlichkeitsrechte selbstverständlich sind und ein gesamter lebewesenschutz. bei kebab hast z.b. das schächtungsproblem etc. und diese leute haben auch noch nicht so ein bewusstsein, was aufklärung und tierschutz betrifft. 

und selbstverständich steht mir die kultur in der ich aufgewachsen bin, am nächsten. würde ich in die usa ziehen, würde ich mich sofort anpassen an dortige gepflogenheiten und keine deutschsparchigen coomunities besuchen...",-1,0,0,-1,-1,0,-1,-1,0,0
2278,Sie hat sich wohl nichr beim basti hochge... dings,-1,3,2,-1,-1,1,-1,-1,3,2
2279,"Wenn die Kollegin das Buch rezensiert...
Feminismus ist aktuell ideologisch getriebenes, selbstreferenzierndes Schwarz-Weiß Denken in denen es Opfer (Frauen) und Sündenböcke (Männer, oftmals ""weiße"",  ""das Patriarchat"") gibt.

Männer arbeiten mehr und länger, sterben früher, begehen öfter Selbstmord, müssen später in Pension, machen die gefährlichen Arbeiten, haben bei Scheidungen meist das Nachsehen etc. - muss wohl auch das böse Patriarchat sein.",-1,2,2,-1,-1,1,-1,-1,2,2
2280,Fake news von Klenk..wer hätte das gedacht. Genau so irreführend wie der Ibizazusamenschnitt.,-1,0,0,-1,-1,0,-1,-1,0,0
2281,Wie wär's mit Vizespasti?,-1,0,0,-1,-1,0,-1,-1,0,0
2282,"Das gilt dann bitte aber auch in die annre Richtung 

Mit der Argumentation dürfte man dann ja auch dich nimmer ernst nehmen 

Du postest hier schlieslich in einem Forum gemeinsam mit Linksradickalen  die ganz ordentliche Hasspostings absetzen - fühlst du dich dafür verantwortlich ?",-1,0,0,-1,-1,0,-1,-1,0,0
2283,"Uh, heut haben die Barrikadenmausis wieder Ausgang!",-1,2,2,-1,-1,2,-1,-1,2,2
